"","SampleID","16S COPIES/G","Treatment","Time_point","genus","color_label_group","count_relative","count_absolute","log_count.absolute"
"1","1-A-1",599833919.308359,"Control","Baseline","Lactobacillus","g__Lactobacillus",0.272406619533254,163398730.240173,18.911703969492
"2","1-A-1",599833919.308359,"Control","Baseline","Lactobacillus","g__Lactobacillus",0.260964775073516,156535523.833771,18.8687935315395
"3","1-A-1",599833919.308359,"Control","Baseline","Turicibacter","o__Erysipelotrichales",0.0877807670650066,52653881.548497,17.779250517445
"4","1-A-1",599833919.308359,"Control","Baseline","Turicibacter","o__Erysipelotrichales",0.0868657323406119,52105012.6834601,17.7687717148298
"5","1-A-1",599833919.308359,"Control","Baseline","Duncaniella","p__Bacteroidetes",0.0465259963711443,27907870.75303,17.1444193128506
"6","1-A-1",599833919.308359,"Control","Baseline","Duncaniella","p__Bacteroidetes",0.0429362447600576,25754615.9748083,17.0641244301663
"7","1-A-1",599833919.308359,"Control","Baseline","Gracilibacter","o__Clostridiales",0.00691359569542639,4147009.20250101,15.2378979583003
"8","1-A-1",599833919.308359,"Control","Baseline","Olsenella","p__Actinobacteria",0.00602984420947256,3616905.08498674,15.101129269226
"9","1-A-1",599833919.308359,"Control","Baseline","Duncaniella","p__Bacteroidetes",0.00597509854220109,3584066.77682214,15.0920086848292
"10","1-A-1",599833919.308359,"Control","Baseline","Gracilibacter","o__Clostridiales",0.00590471125570919,3541846.09489622,15.0801586449117
"11","1-A-1",599833919.308359,"Control","Baseline","Olsenella","p__Actinobacteria",0.00581868234999687,3490243.03920899,15.0654819304958
"12","1-A-1",599833919.308359,"Control","Baseline","Duncaniella","p__Bacteroidetes",0.00530250891572296,3180624.70508562,14.9725881836031
"13","1-A-1",599833919.308359,"Control","Baseline","Sangeribacter","p__Bacteroidetes",0.00451260714509166,2706814.83013923,14.8112831621708
"14","1-A-1",599833919.308359,"Control","Baseline","Sangeribacter","p__Bacteroidetes",0.00448914471626103,2692741.26949726,14.8060702919823
"15","1-A-1",599833919.308359,"Control","Baseline","Enterocloster","f__Lachnospiraceae",0.00390258399549521,2340902.25344797,14.6660469914142
"16","1-A-1",599833919.308359,"Control","Baseline","Enterocloster","f__Lachnospiraceae",0.00387130075705437,2322137.50592534,14.6579986582314
"17","1-A-1",599833919.308359,"Control","Baseline","Guopingia","other__other",0.00370706375523994,2223622.58143153,14.6146482173578
"18","1-A-1",599833919.308359,"Control","Baseline","Guopingia","other__other",0.00356628918225615,2139181.21757971,14.5759337051771
"19","1-A-1",599833919.308359,"Control","Baseline","Muribaculum","p__Bacteroidetes",0.00308921979603329,1853018.81785962,14.4323266605638
"20","1-A-1",599833919.308359,"Control","Baseline","Sangeribacter","p__Bacteroidetes",0.00290152036538823,1740430.33272384,14.3696429582701
"21","1-B-1",3311251.52587891,"Control","Baseline","Lactobacillus","g__Lactobacillus",0.146671032078959,485664.678773688,13.0932737033787
"22","1-B-1",3311251.52587891,"Control","Baseline","Lactobacillus","g__Lactobacillus",0.130471259898913,432023.15842362,12.9762344732515
"23","1-B-1",3311251.52587891,"Control","Baseline","Olsenella","p__Actinobacteria",0.0751737638721207,248919.240327621,12.4248837868049
"24","1-B-1",3311251.52587891,"Control","Baseline","Olsenella","p__Actinobacteria",0.0679776545458266,225091.112340538,12.3242605429547
"25","1-B-1",3311251.52587891,"Control","Baseline","Duncaniella","p__Bacteroidetes",0.0541720381700737,179377.244050627,12.0972463758045
"26","1-B-1",3311251.52587891,"Control","Baseline","Turicibacter","o__Erysipelotrichales",0.0475147844236633,157333.402424663,11.9661224150393
"27","1-B-1",3311251.52587891,"Control","Baseline","Turicibacter","o__Erysipelotrichales",0.04209212384129,139377.609296956,11.8449421424344
"28","1-B-1",3311251.52587891,"Control","Baseline","Duncaniella","p__Bacteroidetes",0.0407756791967641,135018.529959034,11.8131673069572
"29","1-B-1",3311251.52587891,"Control","Baseline","Clostridium","o__Clostridiales",0.0142557995184405,47204.5379080599,10.7622453090722
"30","1-B-1",3311251.52587891,"Control","Baseline","Clostridium","o__Clostridiales",0.0116501940562183,38576.7228454383,10.5604043384619
"31","1-B-1",3311251.52587891,"Control","Baseline","Marvinbryantia","f__Lachnospiraceae",0.0105247361994993,34850.0488000651,10.4588098164765
"32","1-B-1",3311251.52587891,"Control","Baseline","Marvinbryantia","f__Lachnospiraceae",0.00956980226046505,31688.0223373243,10.3636940442158
"33","1-B-1",3311251.52587891,"Control","Baseline","Eubacterium","o__Clostridiales",0.00767357629581125,25409.1412184532,10.1428642787519
"34","1-B-1",3311251.52587891,"Control","Baseline","Guopingia","other__other",0.00763265055556692,25273.6257986215,10.1375166724253
"35","1-B-1",3311251.52587891,"Control","Baseline","Guopingia","other__other",0.00702558540860941,23263.4804044505,10.054640045337
"36","1-B-1",3311251.52587891,"Control","Baseline","Duncaniella","p__Bacteroidetes",0.00640487834823712,21208.163203669,9.96214144332161
"37","1-B-1",3311251.52587891,"Control","Baseline","Eubacterium","o__Clostridiales",0.00609793529640467,20191.7975549308,9.91303173928686
"38","1-B-1",3311251.52587891,"Control","Baseline","Sangeribacter","p__Bacteroidetes",0.00590694850859782,19559.3922623827,9.88121087267578
"39","1-B-1",3311251.52587891,"Control","Baseline","Muribaculum","p__Bacteroidetes",0.00565457311042447,18723.7138400869,9.83754611924864
"40","1-B-1",3311251.52587891,"Control","Baseline","Enterocloster","f__Lachnospiraceae",0.00560000545676537,18543.0266136446,9.82784907356577
"41","1-C-1",539221594.419531,"Control","Baseline","Turicibacter","o__Erysipelotrichales",0.133096034740514,71768256.0636972,18.0889528201518
"42","1-C-1",539221594.419531,"Control","Baseline","Turicibacter","o__Erysipelotrichales",0.121420943973802,65472795.005478,17.9971452708987
"43","1-C-1",539221594.419531,"Control","Baseline","Lactobacillus","g__Lactobacillus",0.0600484089129351,32379398.7963888,17.2930329389132
"44","1-C-1",539221594.419531,"Control","Baseline","Lactobacillus","g__Lactobacillus",0.0539830568804727,29108830.0027287,17.1865521226341
"45","1-C-1",539221594.419531,"Control","Baseline","Duncaniella","p__Bacteroidetes",0.0492062362070193,26533065.142933,17.093902254417
"46","1-C-1",539221594.419531,"Control","Baseline","Duncaniella","p__Bacteroidetes",0.047718374030042,25730777.7275868,17.0631984102911
"47","1-C-1",539221594.419531,"Control","Baseline","Olsenella","p__Actinobacteria",0.0277069836975867,14940203.9259687,16.519566387239
"48","1-C-1",539221594.419531,"Control","Baseline","Olsenella","p__Actinobacteria",0.0247027835124938,13320274.3122074,16.404797816874
"49","1-C-1",539221594.419531,"Control","Baseline","Lactobacillus","g__Lactobacillus",0.0128995515056596,6955716.73017863,15.755074430536
"50","1-C-1",539221594.419531,"Control","Baseline","Gracilibacter","o__Clostridiales",0.00954652238912223,5147691.02382424,15.4540588272148
"51","1-C-1",539221594.419531,"Control","Baseline","Anaerobacterium","o__Clostridiales",0.00902683847084787,4867466.23281815,15.3980840789303
"52","1-C-1",539221594.419531,"Control","Baseline","Mediterraneibacter","f__Lachnospiraceae",0.00846444080586602,4564209.26720881,15.3337558406239
"53","1-C-1",539221594.419531,"Control","Baseline","Mediterraneibacter","f__Lachnospiraceae",0.00821527728340571,4429854.91535658,15.3038773910012
"54","1-C-1",539221594.419531,"Control","Baseline","Anaerobacterium","o__Clostridiales",0.00801594646543746,4322371.43387479,15.2793147526328
"55","1-C-1",539221594.419531,"Control","Baseline","Duncaniella","p__Bacteroidetes",0.00788780522531501,4253274.91006507,15.2631998112404
"56","1-C-1",539221594.419531,"Control","Baseline","Clostridium","o__Clostridiales",0.00778813981633089,4199533.16932418,15.250483926915
"57","1-C-1",539221594.419531,"Control","Baseline","Sporofaciens","f__Lachnospiraceae",0.00752473837830142,4057501.42593753,15.2160779298034
