"asv_id","kingdom","phylum","class","order","family","genus","species"
"00496998cea3c2ecf4a05ce39d64abd1","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","[Clostridium] scindens"
"0094350f98dc0678a8f8252edba12d77","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Phocea","Phocea massiliensis"
"00bd67c6374833d81b59d7abe00bf603","Bacteria","Bacillota","Clostridia","Eubacteriales","Gracilibacteraceae","Gracilibacter","Gracilibacter thermotolerans"
"00c6ac7a878d1a51d469097747a8230c","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Kineothrix","Kineothrix alysoides"
"0121f72bb461262abbad27f26ab40de9","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","[Clostridium] scindens"
"01265a83309689d4815afdc6b19b5e61","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia faecis"
"012c4c61271fef5885f5ade101946c27","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Butyricicoccus","Butyricicoccus pullicaecorum"
"0137e40ee868f78b8c6000ff7569657e","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium disporicum"
"0143a02f9ec07cd969397e13b0ad54aa","Bacteria","Bacillota","Clostridia","Eubacteriales","","Intestinimonas","Intestinimonas timonensis"
"015a1febf534354fdbdd8d1a0f01eecc","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Hespellia","Hespellia porcina"
"0173407a5eb79c4829e55f4132975052","Bacteria","Bacillota","Clostridia","Eubacteriales","Christensenellaceae","Luoshenia","Luoshenia tenuis"
"0182c0268eee79420d742439e3598537","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Turicibacteraceae","Turicibacter","Turicibacter bilis"
"019eace093d2b41083f77f0fba8a1c5a","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerobacterium","Anaerobacterium chartisolvens"
"01c1754f4db429a2626108280324483b","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster aldenensis"
"01c2c87bd7b2e37940f169a190ea0f60","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas palleroniana"
"01ee860159f2eb326a00dde356a7b986","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","Duncaniella muricolitica"
"01eef3dbad8ac2c5514aae9a90184281","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter butyricigenes"
"01ffbe3ce0c28d766a059cd4368b4c6d","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium fessum"
"020c3c70117d8c93ceeb9af3ec48d457","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Acetatifactor","Acetatifactor muris"
"0230c5002b249bacc6bbf7da8d434b86","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Faecalicatena","Faecalicatena absiana"
"0243131d830c4167f4fab4b4a86750c9","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri"
"02443f080f5dfe13beccd7c56b5a5479","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Kineothrix","Kineothrix alysoides"
"0249c64bcf8a7c6f7b8aaade962f8646","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium xylanophilum"
"027edb18461496b7c4b039187b3d471e","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora","Lacrimispora algidixylanolytica"
"0292432fd881d359919149395f3cd1f7","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Acetatifactor","Acetatifactor muris"
"02c218d3668854c0e00b5d27612e4236","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Sangeribacter","Sangeribacter muris"
"02df7cb66acdfd865097f078be255b7c","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Sangeribacter","Sangeribacter muris"
"02e913f2e86c95c905b8f73cef37499f","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri"
"03152a4b116dd8901e1cdd13423129f6","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium fessum"
"034c37f3467e683b50a398ff36cb1518","Bacteria","Bacillota","Clostridia","Eubacteriales","","Intestinimonas","Intestinimonas gabonensis"
"036c3208340b971eccb7c4a029397f2f","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","[Clostridium] methoxybenzovorans"
"037d857020b6e1a3c8de7f00ed991de5","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminiclostridium","Ruminiclostridium cellulolyticum"
"039c086ba22dbfa460b930424096f9ba","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","Agrobacterium cavarae"
"03fe834e51f20ca9418bc5727c2c9d9b","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma","Anaeroplasma abactoclasticum"
"04119871c576041e9e5a1997739733cd","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","Oscillibacter ruminantium"
"042f3762984f9f3261f0b28e58710bd0","Bacteria","Actinomycetota","Actinomycetes","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium glutamicum"
"0462fe909a66068a6a9495aebf060c39","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus","Amylolactobacillus amylotrophicus"
"047a40309469d89e9e84fee4335cbd0b","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Neorhizobium","Neorhizobium alkalisoli"
"048697d734190548d48492b74b52f2ad","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens"
"0493057e10d85b7d407bb84880d7fa34","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Simiaoa","Simiaoa hominis"
