"sampleid","taxonomy","count","count_total","count_relative"
"Group 1-A-1","Gracilibacter",19,127864,0.000148595382594006
"Group 1-A-1","Luoshenia",55,127864,0.000430144528561597
"Group 1-A-1","Duncaniella",50,127864,0.000391040480510542
"Group 1-A-1","Mediterraneibacter",24,127864,0.00018769943064506
"Group 1-A-1","Eubacterium",2,127864,1.56416192204217e-05
"Group 1-A-1","Clostridium",83,127864,0.0006491271976475
"Group 1-A-1","Lachnoclostridium",10,127864,7.82080961021085e-05
"Group 1-A-1","Ruminococcoides",6,127864,4.69248576612651e-05
"Group 1-A-1","Acetatifactor",53,127864,0.000414502909341175
"Group 1-A-1","Bacillus",7,127864,5.47456672714759e-05
"Group 1-A-1","Clostridium",79,127864,0.000617843959206657
"Group 1-A-1","Marseillibacter",6,127864,4.69248576612651e-05
"Group 1-A-1","Jutongia",15,127864,0.000117312144153163
"Group 1-A-1","Fusimonas",37,127864,0.000289369955577801
"Group 1-A-1","Angelakisella",7,127864,5.47456672714759e-05
"Group 1-A-1","Faecalicatena",2,127864,1.56416192204217e-05
"Group 1-A-1","Neglectibacter",8,127864,6.25664768816868e-05
"Group 1-A-1","Ruminiclostridium",9,127864,7.03872864918976e-05
"Group 1-A-1","Duncaniella",5949,127864,0.0465259963711443
"Group 1-A-1","Guopingia",3,127864,2.34624288306325e-05
"Group 1-A-1","Anaerobacterium",107,127864,0.000836826628292561
"Group 1-A-1","Parvibacter",16,127864,0.000125132953763374
"Group 1-A-1","Lachnoclostridium",19,127864,0.000148595382594006
"Group 1-A-1","Olsenella",3,127864,2.34624288306325e-05
"Group 1-A-1","Lactobacillus",7,127864,5.47456672714759e-05
"Group 1-A-1","Blautia",62,127864,0.000484890195833073
"Group 1-A-1","Akkermansia",27,127864,0.000211161859475693
"Group 1-A-1","Enterocloster",495,127864,0.00387130075705437
"Group 1-A-1","Achromobacter",12,127864,9.38497153225302e-05
"Group 1-A-1","Enterococcus",5,127864,3.91040480510542e-05
"Group 1-A-1","Akkermansia",12,127864,9.38497153225302e-05
"Group 1-A-1","Gracilibacter",30,127864,0.000234624288306325
"Group 1-A-1","Alistipes",53,127864,0.000414502909341175
"Group 1-A-1","Turicibacter",24,127864,0.00018769943064506
"Group 1-A-1","Faecalicatena",57,127864,0.000445786147782018
"Group 1-A-1","Luoshenia",20,127864,0.000156416192204217
"Group 1-A-1","Gracilibacter",884,127864,0.00691359569542639
"Group 1-A-1","Anaerobacterium",135,127864,0.00105580929737846
"Group 1-A-1","Angelakisella",6,127864,4.69248576612651e-05
"Group 1-A-1","Breznakia",12,127864,9.38497153225302e-05
"Group 1-A-1","Ruminococcus",8,127864,6.25664768816868e-05
"Group 1-A-1","Lacrimispora",43,127864,0.000336294813239067
"Group 1-A-1","Jutongia",4,127864,3.12832384408434e-05
"Group 1-A-1","Eubacterium",333,127864,0.00260432960020021
"Group 1-A-1","Clostridium",106,127864,0.00082900581868235
"Group 1-A-1","Lawsonibacter",14,127864,0.000109491334542952
"Group 1-A-1","Lachnoclostridium",9,127864,7.03872864918976e-05
"Group 1-A-1","Flintibacter",11,127864,8.60289057123193e-05
"Group 1-A-1","Adlercreutzia",20,127864,0.000156416192204217
"Group 1-A-1","Vescimonas",32,127864,0.000250265907526747
"Group 1-A-1","Jutongia",7,127864,5.47456672714759e-05
"Group 1-A-1","Dehalobacterium",34,127864,0.000265907526747169
"Group 1-A-1","Adlercreutzia",14,127864,0.000109491334542952
"Group 1-A-1","Turicibacter",11107,127864,0.0868657323406119
"Group 1-A-1","Vescimonas",61,127864,0.000477069386222862
"Group 1-A-1","Breznakia",51,127864,0.000398861290120753
"Group 1-A-1","Duncaniella",5490,127864,0.0429362447600576
"Group 1-A-1","Guopingia",32,127864,0.000250265907526747
"Group 1-A-1","Clostridium",3,127864,2.34624288306325e-05
"Group 1-A-1","Lacrimispora",3,127864,2.34624288306325e-05
"Group 1-A-1","Enterococcus",10,127864,7.82080961021085e-05
"Group 1-A-1","Breznakia",16,127864,0.000125132953763374
"Group 1-A-1","Mediterraneibacter",256,127864,0.00200212726021398
"Group 1-A-1","Clostridium",41,127864,0.000320653194018645
"Group 1-A-1","Sporofaciens",3,127864,2.34624288306325e-05
"Group 1-A-1","Lactobacillus",30,127864,0.000234624288306325
"Group 1-A-1","Acutalibacter",4,127864,3.12832384408434e-05
"Group 1-A-1","Tyzzerella",15,127864,0.000117312144153163
"Group 1-A-1","Flintibacter",10,127864,7.82080961021085e-05
"Group 1-A-1","Olsenella",3,127864,2.34624288306325e-05
"Group 1-A-1","Gracilibacter",128,127864,0.00100106363010699
"Group 1-A-1","Spiroplasma",27,127864,0.000211161859475693
"Group 1-A-1","Murimonas",18,127864,0.000140774572983795
"Group 1-A-1","Ruminococcoides",18,127864,0.000140774572983795
"Group 1-A-1","Eubacterium",358,127864,0.00279984984045548
"Group 1-A-1","Eubacterium",68,127864,0.000531815053494338
"Group 1-A-1","Sangeribacter",371,127864,0.00290152036538823
"Group 1-A-1","Breznakia",2,127864,1.56416192204217e-05
"Group 1-A-1","Muribaculum",124,127864,0.000969780391666145
"Group 1-A-1","Angelakisella",4,127864,3.12832384408434e-05
"Group 1-A-1","Sangeribacter",246,127864,0.00192391916411187
"Group 1-A-1","Spiroplasma",141,127864,0.00110273415503973
"Group 1-A-1","Ruminococcus",15,127864,0.000117312144153163
"Group 1-A-1","Gordonibacter",17,127864,0.000132953763373584
"Group 1-A-1","Turicibacter",11224,127864,0.0877807670650066
"Group 1-A-1","Duncaniella",678,127864,0.00530250891572296
"Group 1-A-1","Neglectibacter",8,127864,6.25664768816868e-05
