"","sampleid","genus","count","count_total","count_relative","Treatment","Time_point","Treatment_group","color","color_base","color_label_group","color_label_group_distinct"
"1","Group 1-A-1","Lactobacillus",34831,127864,0.272406619533254,"Control","Baseline","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"2","Group 1-A-1","Lactobacillus",33368,127864,0.260964775073516,"Control","Baseline","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"3","Group 1-A-1","Turicibacter",11224,127864,0.0877807670650066,"Control","Baseline","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"4","Group 1-A-1","Turicibacter",11107,127864,0.0868657323406119,"Control","Baseline","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"5","Group 1-A-1","Duncaniella",5949,127864,0.0465259963711443,"Control","Baseline","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"6","Group 1-A-1","Duncaniella",5490,127864,0.0429362447600576,"Control","Baseline","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"7","Group 1-A-1","Gracilibacter",884,127864,0.00691359569542639,"Control","Baseline","Control","#A9865E","#9C854E","o__Clostridiales","o__Clostridiales.80"
"8","Group 1-A-1","Olsenella",771,127864,0.00602984420947256,"Control","Baseline","Control","#976396","#A77097","p__Actinobacteria","p__Actinobacteria.18"
"9","Group 1-A-1","Duncaniella",764,127864,0.00597509854220109,"Control","Baseline","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"10","Group 1-A-1","Gracilibacter",755,127864,0.00590471125570919,"Control","Baseline","Control","#A9865E","#9C854E","o__Clostridiales","o__Clostridiales.80"
"11","Group 1-A-1","Olsenella",744,127864,0.00581868234999687,"Control","Baseline","Control","#976396","#A77097","p__Actinobacteria","p__Actinobacteria.18"
"12","Group 1-A-1","Duncaniella",678,127864,0.00530250891572296,"Control","Baseline","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"13","Group 1-A-1","Sangeribacter",577,127864,0.00451260714509166,"Control","Baseline","Control","#b9dbdb","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.101"
