"asv_temp_id"	"blast_pass"	"accession"	"annotation"	"tax_id_species"	"pident"	"evalue"	"score"
"00496998cea3c2ecf4a05ce39d64abd1"	TRUE	"NR_028785.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] scindens"	29347	98.489	1.17e-166	316
"0094350f98dc0678a8f8252edba12d77"	FALSE	"NR_144748.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Phocea;s__Phocea massiliensis"	1841867	93.333	3.38e-137	263
"00bd67c6374833d81b59d7abe00bf603"	FALSE	"NR_115693.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Gracilibacteraceae;g__Gracilibacter;s__Gracilibacter thermotolerans"	694434	86.446	5.99e-100	196
"00c6ac7a878d1a51d469097747a8230c"	FALSE	"NR_156081.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix alysoides"	1469948	94.079	4.7e-60	124
"0121f72bb461262abbad27f26ab40de9"	FALSE	"NR_119285.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] scindens"	29347	97.059	2.57e-77	155
"01265a83309689d4815afdc6b19b5e61"	TRUE	"NR_042832.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis"	301302	97.583	1.18e-161	307
"012c4c61271fef5885f5ade101946c27"	FALSE	"NR_044490.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Butyricicoccus;s__Butyricicoccus pullicaecorum"	501571	96.687	3.31e-157	299
"0137e40ee868f78b8c6000ff7569657e"	TRUE	"NR_026491.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum"	84024	99.353	1.83e-159	303
"0143a02f9ec07cd969397e13b0ad54aa"	FALSE	"NR_179423.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__Intestinimonas;s__Intestinimonas timonensis"	1689270	96.677	1.19e-156	298
"015a1febf534354fdbdd8d1a0f01eecc"	FALSE	"NR_025206.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Hespellia;s__Hespellia porcina"	180286	94.277	2.61e-143	274
"0173407a5eb79c4829e55f4132975052"	FALSE	"NR_181383.1"	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Luoshenia;s__Luoshenia tenuis"	2763654	90.333	2.75e-108	211
"0182c0268eee79420d742439e3598537"	TRUE	"NR_181198.1"	"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis"	2735723	98.932	2.82e-142	272
