"ASVId"	"taxid"	"accession"	"species"	"query_length"	"align_length"	"nident"	"pident"	"bitscore"	"evalue"	"score"	"tax_id_species"	"taxon"	"species_short"	"name"	"length_ratio"	"pident_97"	"length_ratio_1.1"	"passed"
"00496998cea3c2ecf4a05ce39d64abd1"	29347	"NR_028785.1"	"[Clostridium] scindens strain ATCC 35704 16S ribosomal RNA, partial sequence"	331	331	326	98.489	584	1.17e-166	316	29347	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] scindens"	"[Clostridium]_scindens"	"[Clostridium]_scindens;331;98.489"	1	TRUE	TRUE	TRUE
"01265a83309689d4815afdc6b19b5e61"	301302	"NR_042832.1"	"Roseburia faecis strain M72/1 16S ribosomal RNA, partial sequence"	331	331	323	97.583	568	1.18e-161	307	301302	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis"	"Roseburia_faecis"	"Roseburia_faecis;331;97.583"	1	TRUE	TRUE	TRUE
"0137e40ee868f78b8c6000ff7569657e"	84024	"NR_026491.1"	"Clostridium disporicum strain DS1 16S ribosomal RNA, partial sequence"	309	309	307	99.353	560	1.83e-159	303	84024	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum"	"Clostridium_disporicum"	"Clostridium_disporicum;Clostridium_saudiense;309;99.353"	1	TRUE	TRUE	TRUE
"0182c0268eee79420d742439e3598537"	2735723	"NR_181198.1"	"Turicibacter bilis strain MMM721 16S ribosomal RNA, partial sequence"	281	281	278	98.932	503	2.82e-142	272	2735723	"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis"	"Turicibacter_bilis"	"Turicibacter_bilis;281;98.932"	1	TRUE	TRUE	TRUE
"01c2c87bd7b2e37940f169a190ea0f60"	191390	"NR_029050.1"	"Pseudomonas palleroniana strain CFBP 4389 16S ribosomal RNA, partial sequence"	331	331	331	100	612	5.37e-175	331	191390	"k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas palleroniana"	"Pseudomonas_palleroniana"	"Pseudomonas_palleroniana;331;100"	1	TRUE	TRUE	TRUE
"01eef3dbad8ac2c5514aae9a90184281"	2316025	"NR_179276.1"	"Mediterraneibacter butyricigenes strain KCTC 15684 16S ribosomal RNA, partial sequence"	331	331	323	97.583	568	1.18e-161	307	2316025	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter butyricigenes"	"Mediterraneibacter_butyricigenes"	"Mediterraneibacter_butyricigenes;331;97.583"	1	TRUE	TRUE	TRUE
"0243131d830c4167f4fab4b4a86750c9"	324831	"NR_075051.2"	"Lactobacillus gasseri ATCC 33323 = JCM 1131 16S ribosomal RNA, complete sequence"	358	339	338	99.705	621	9.71e-178	336	324831	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri"	"Lactobacillus_gasseri"	"Lactobacillus_gasseri;Lactobacillus_hominis;Lactobacillus_johnsonii;Lactobacillus_paragasseri;Lactobacillus_taiwanensis;339;99.705"	1.05604719764012	TRUE	TRUE	TRUE
"02df7cb66acdfd865097f078be255b7c"	2880703	"NR_181880.1"	"Sangeribacter muris strain A43 16S ribosomal RNA, partial sequence"	302	302	302	100	558	6.43e-159	302	2880703	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sangeribacter;s__Sangeribacter muris"	"Sangeribacter_muris"	"Sangeribacter_muris;302;100"	1	TRUE	TRUE	TRUE
"02e913f2e86c95c905b8f73cef37499f"	324831	"NR_075051.2"	"Lactobacillus gasseri ATCC 33323 = JCM 1131 16S ribosomal RNA, complete sequence"	209	197	194	98.477	348	1.01e-95	188	324831	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri"	"Lactobacillus_gasseri"	"Lactobacillus_gasseri;Lactobacillus_hominis;Lactobacillus_johnsonii;Lactobacillus_paragasseri;Lactobacillus_taiwanensis;197;98.477"	1.06091370558376	TRUE	TRUE	TRUE
"034c37f3467e683b50a398ff36cb1518"	1702285	"NR_179426.1"	"Intestinimonas gabonensis strain GM5 16S ribosomal RNA, partial sequence"	331	331	324	97.885	573	2.54e-163	310	1702285	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__Intestinimonas;s__Intestinimonas gabonensis"	"Intestinimonas_gabonensis"	"Intestinimonas_gabonensis;331;97.885"	1	TRUE	TRUE	TRUE
"039c086ba22dbfa460b930424096f9ba"	2528239	"NR_180566.1"	"Agrobacterium cavarae strain RZME10 16S ribosomal RNA, partial sequence"	330	330	330	100	610	1.93e-174	330	2528239	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium cavarae"	"Agrobacterium_cavarae"	"Agrobacterium_cavarae;330;100"	1	TRUE	TRUE	TRUE
"042f3762984f9f3261f0b28e58710bd0"	1718	"NR_074663.1"	"Corynebacterium glutamicum strain ATCC 13032 16S ribosomal RNA, partial sequence"	333	333	333	100	616	4.18e-176	333	1718	"k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum"	"Corynebacterium_glutamicum"	"Corynebacterium_glutamicum;333;100"	1	TRUE	TRUE	TRUE
"047a40309469d89e9e84fee4335cbd0b"	528178	"NR_116162.1"	"Neorhizobium alkalisoli strain CCBAU 01393 16S ribosomal RNA, partial sequence"	330	330	329	99.697	604	8.96e-173	327	528178	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Neorhizobium;s__Neorhizobium alkalisoli"	"Neorhizobium_alkalisoli"	"Neorhizobium_alkalisoli;Neorhizobium_galegae;Neorhizobium_huautlense;Neorhizobium_vignae;Rhizobium_mongolense;Rhizobium_panacihumi;330;99.697"	1	TRUE	TRUE	TRUE
"048697d734190548d48492b74b52f2ad"	446660	"NR_121696.1"	"Adlercreutzia equolifaciens strain DSM 19450 16S ribosomal RNA, partial sequence"	281	265	259	97.736	457	2.23e-128	247	446660	"k__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens"	"Adlercreutzia_equolifaciens"	"Adlercreutzia_equolifaciens;Adlercreutzia_hattorii;265;97.736"	1.06037735849057	TRUE	TRUE	TRUE
"053a2310704289edab7b16e3a5c93380"	1408099	"NR_178255.1"	"Fusimonas intestini strain AJ110941 16S ribosomal RNA, partial sequence"	332	332	323	97.289	564	1.53e-160	305	1408099	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Fusimonas;s__Fusimonas intestini"	"Fusimonas_intestini"	"Fusimonas_intestini;332;97.289"	1	TRUE	TRUE	TRUE
"055fcdbc7b9280fd1eb9252955d42a28"	1353888	"NR_152013.1"	"Achromobacter agilis strain LMG 3411 16S ribosomal RNA, partial sequence"	330	308	307	99.675	564	1.52e-160	305	1353888	"k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter agilis"	"Achromobacter_agilis"	"Achromobacter_agilis;Achromobacter_anxifer;Achromobacter_denitrificans;Achromobacter_dolens;Achromobacter_insuavis;Achromobacter_veterisilvae;Achromobacter_xylosoxidans;Bordetella_hinzii;Bordetella_tumulicola;308;99.675"	1.07142857142857	TRUE	TRUE	TRUE
"05679f7f725fc1142f5a3eb0e59d10d2"	2880703	"NR_181880.1"	"Sangeribacter muris strain A43 16S ribosomal RNA, partial sequence"	331	331	329	99.396	601	1.16e-171	325	2880703	"k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sangeribacter;s__Sangeribacter muris"	"Sangeribacter_muris"	"Sangeribacter_muris;331;99.396"	1	TRUE	TRUE	TRUE
"05c76608939583b85ecbf3b961862dc0"	324831	"NR_075051.2"	"Lactobacillus gasseri ATCC 33323 = JCM 1131 16S ribosomal RNA, complete sequence"	311	311	311	100	575	6.59e-164	311	324831	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri"	"Lactobacillus_gasseri"	"Lactobacillus_gasseri;Lactobacillus_hominis;Lactobacillus_johnsonii;Lactobacillus_paragasseri;Lactobacillus_taiwanensis;311;100"	1	TRUE	TRUE	TRUE
"05cb0bc4e3eb81957d8bd161a234bc2c"	2735723	"NR_181198.1"	"Turicibacter bilis strain MMM721 16S ribosomal RNA, partial sequence"	234	234	233	99.573	427	1.44e-119	231	2735723	"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis"	"Turicibacter_bilis"	"Turicibacter_bilis;Turicibacter_sanguinis;234;99.573"	1	TRUE	TRUE	TRUE
"063744fa1792fe9f865e0c4f05c9e21d"	324831	"NR_075051.2"	"Lactobacillus gasseri ATCC 33323 = JCM 1131 16S ribosomal RNA, complete sequence"	200	200	200	100	370	2.06e-102	200	324831	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri"	"Lactobacillus_gasseri"	"Lactobacillus_gasseri;Lactobacillus_hominis;Lactobacillus_johnsonii;Lactobacillus_paragasseri;Lactobacillus_taiwanensis;200;100"	1	TRUE	TRUE	TRUE
"0645075d663c1bc0c118acdb123c6258"	1613	"NR_113335.1"	"Limosilactobacillus fermentum strain NBRC 15885 16S ribosomal RNA, partial sequence"	332	332	332	100	614	1.5e-175	332	1613	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum"	"Limosilactobacillus_fermentum"	"Limosilactobacillus_fermentum;332;100"	1	TRUE	TRUE	TRUE
"0676aabfe5db200482181ee8a7dc6741"	2735723	"NR_181198.1"	"Turicibacter bilis strain MMM721 16S ribosomal RNA, partial sequence"	358	347	341	98.271	606	2.72e-173	328	2735723	"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis"	"Turicibacter_bilis"	"Turicibacter_bilis;347;98.271"	1.03170028818444	TRUE	TRUE	TRUE
"070fa29977f805abf99bc8e256cdfe12"	324831	"NR_075051.2"	"Lactobacillus gasseri ATCC 33323 = JCM 1131 16S ribosomal RNA, complete sequence"	278	278	278	100	514	1.29e-145	278	324831	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri"	"Lactobacillus_gasseri"	"Lactobacillus_gasseri;Lactobacillus_hominis;Lactobacillus_johnsonii;Lactobacillus_paragasseri;Lactobacillus_taiwanensis;278;100"	1	TRUE	TRUE	TRUE
"0759f2fa05944b1f868a40e9fab56c02"	2763669	"NR_181395.1"	"Qiania dongpingensis strain NSJ-38 16S ribosomal RNA, partial sequence"	332	332	323	97.289	564	1.53e-160	305	2763669	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Qiania;s__Qiania dongpingensis"	"Qiania_dongpingensis"	"Qiania_dongpingensis;332;97.289"	1	TRUE	TRUE	TRUE
"07c2a9b609ae4a91a55b05ba70c16348"	84024	"NR_026491.1"	"Clostridium disporicum strain DS1 16S ribosomal RNA, partial sequence"	284	284	281	98.944	508	6.14e-144	275	84024	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum"	"Clostridium_disporicum"	"Clostridium_disporicum;Clostridium_saudiense;284;98.944"	1	TRUE	TRUE	TRUE
"080fc8ce1b13b4cdfe102f208664c097"	1368429	"NR_115996.1"	"Rhizobium soli DS-42 16S ribosomal RNA, partial sequence"	330	330	330	100	610	1.93e-174	330	1368429	"k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium soli"	"Rhizobium_soli"	"Rhizobium_soli;330;100"	1	TRUE	TRUE	TRUE
"08ca30b37de1140bafea5045edbcb796"	1776391	"NR_144740.1"	"Romboutsia timonensis strain DR1 16S ribosomal RNA, partial sequence"	282	282	281	99.645	516	3.64e-146	279	1776391	"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis"	"Romboutsia_timonensis"	"Romboutsia_timonensis;282;99.645"	1	TRUE	TRUE	TRUE
"08da7189d81ea867acaab559feccab3e"	2847858	"NR_179378.1"	"Fundicoccus fermenti strain F-1 16S ribosomal RNA, partial sequence"	332	332	326	98.193	580	1.52e-165	314	2847858	"k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Fundicoccus;s__Fundicoccus fermenti"	"Fundicoccus_fermenti"	"Fundicoccus_fermenti;Fundicoccus_ignavus;332;98.193"	1	TRUE	TRUE	TRUE
"0979959228c6f998b43e5b46b14ec14d"	747645	"NR_117374.1"	"Parvibacter caecicola strain NR06 16S ribosomal RNA, partial sequence"	328	330	324	98.182	573	2.51e-163	310	747645	"k__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Parvibacter;s__Parvibacter caecicola"	"Parvibacter_caecicola"	"Parvibacter_caecicola;330;98.182"	0.993939393939394	TRUE	TRUE	TRUE
